name,brand,manufacturer,certification_level,certification_description,ingredients,product_description,usage,image_url,page_number
GREEN CLAY,PRIMAVERA,PRIMAVERA LIFE GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,,,,,
HEAD COMFORT ORGANIC AROMA ROLL-ON,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Water (Aqua), Mentha Piperita (Peppermint) Leaf Water* org, Alcohol* org, Polyglyceryl-10 Laurate, Fragrance (Parfum)**, Xanthan Gum, Citral**, Farnesol**, Limonene**, Linalool**
     * org = certified organic cultivation
   ** from 100% natural essential oils",,,,
INSPIRE SHOWER CREAM POMEGRANATE,Weleda,Weleda AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Water (Aqua), Coco-Glucoside, Sesamum Indicum (Sesame) Seed Oil*, Alcohol*, Disodium Cocoyl Glutamate, Helianthus Annuus (Sunflower) Seed Oil*, Glycerin, Carrageenan, Limonene**, Sodium Cocoyl Glutamate, Macadamia Ternifolia Seed Oil*, Punica Granatum Seed Oil*, Panicum Miliaceum (Millet) Seed Extract*, Helianthus Annuus (Sunflower) Petal Extract, Xanthan Gum, Lactic Acid, Fragrance (Parfum)**, Linalool**, Citronellol**, Geraniol**, Citral**, Coumarin**
     *of controlled biological cultivation 
   ** from natural essential oils",,,,
IRIS HYDRATING DAY CREAM,Weleda,Weleda AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Water (Aqua), Simmondsia Chinensis (Jojoba) Seed Oil*, Alcohol denat., Glycerin, Theobroma Cacao (Cocoa) Seed Butter*, Butyrospermum Parkii (Shea) Butter*, Hamamelis Virginiana (Witch Hazel) Water, Beeswax (Cera Alba), Glyceryl Stearate Citrate, Tapioca Starch, Cetearyl Alcohol, Lysolecithin, Iris Germanica Root Extract*, Hectorite, Xanthan Gum, Glyceryl Stearate, Fragrance (Parfum)**, Limonene**, Linalool**, Citronellol**, Geraniol**, Citral**, Eugenol**.
     **  from natural essential oils and/or plant extracts 
       *  Organic ingredient",,,,
IRIS HYDRATING FLUID,Weleda,Weleda AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Water (Aqua,) Simmondsia Chinensis (Jojoba) Seed Oil*, Alcohol denat., Glycerin, Hamamelis Virginiana (Witch Hazel) Water, Hydrolyzed Beeswax, Glyceryl Stearate Citrate, Calendula Officinalis Extract, Iris Germanica Root Extract*, Magnesium Aluminum Silicate, Xanthan Gum, Sodium Beeswax, Fragrance (Parfum)**, Limonene**, Linalool**, Citronellol**, Geraniol**, Citral**, Eugenol**. 
     **  from natural essential oils and/or plant extracts 
       *  Organic ingredient",,,,
IRIS REGENERATING NIGHT CREAM,Weleda,Weleda AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Water (Aqua), Prunus Amygdalus Dulcis (Sweet Almond) Oil, Alcohol denat, Butyrospermum Parkii (Shea) Butter*, Theobroma Cacao (Cocoa) Seed Butter*, Glyceryl Stearate SE, Glycerin, Hydrolyzed Beeswax*, Iris Germanica Root Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Calendula Officinalis Flower Extract*, Magnesium Aluminum Silicate, Xanthan Gum, Fragrance (Parfum)**, Limonene**, Linalool**, Citronellol**, Benzyl Alcohol**, Geraniol**, Citral**, Eugenol**, Farnesol**.
     **  from natural essential oils and/or plant extracts 
       *  Organic ingredient",,,,
KLÄRENDES PEELING,Oceanwell,oceanBASIS GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Caprylic/Capric Triglyceride, Maris Aqua, Saccharomyces/Laminaria Saccharina Ferment, Maris Limus, Glyceryl Stearate Citrate, Simmondsia Chinensis Oil*, Hamamelis Virginiana Distillate, Cetyl Alcohol, Glyceryl Stearate, Alcohol (aus Fermentation der Algen), Butyrospermum Parkii Butter*, Parfum (enthält/contains Linalool, Citral), konserviert mit/preserved with: Benzyl Alcohol, Glycerin, Benzioc Acid, Sorbic Acid.
     * of controlled biological cultivation",,,,
KOMPAKT MAKE-UP BEIGE-ROSÉ 030,alverde Naturkosmetik,dm-drogerie markt GmbH + Co. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Helianthus Annuus Hybrid Oil*, Magnesium Silicate, Tricaprylin, Mica, Simmondsia Chinensis Seed Oil*, Euphorbia Cerifera Cera, Cera Alba, Prunus Amygdalus Dulcis Oil, Copernicia Cerifera Cera, Rhus Verniciflua Peel Cera, Silica, Hydrolyzed Silk, Tocopherol, Hydrogenated Palm Glycerides Citrate, Parfum**, Linalool**, CI 77891, CI 77492, CI 77491
     * of controlled biological cultivation 
   ** from natural essential oils",,,,
KOMPAKT MAKE-UP HONIG-GOLD 020,alverde Naturkosmetik,dm-drogerie markt GmbH + Co. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Helianthus Annuus Hybrid Oil*, Magnesium Silicate, Tricaprylin, Mica, Simmondsia Chinensis Seed Oil*, Euphorbia Cerifera Cera, Cera Alba, Prunus Amygdalus Dulcis Oil, Copernicia Cerifera Cera, Rhus Verniciflua Peel Cera, Silica, Hydrolyzed Silk, Tocopherol, Hydrogenated Palm Glycerides Citrate, Parfum**, Linalool**, CI 77891, CI 77492, CI 77491
     * of controlled biological cultivation 
   ** from natural essential oils",,,,
LAVENDER RELAXING BODY OIL,Weleda,Weleda AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Prunus Amygdalus Dulcis (Sweet Almond) Oil, Sesamum Indicum (Sesame) Seed Oil*, Lavandula Angustifolia (Lavender) Oil*, Fragrance (Parfum)**, Limonene**, Linalool**, Geraniol**, Coumarin**
     *of controlled biological cultivation 
   ** from natural essential oils",,,,
LIQUID EYELINER 01,Dr. Hauschka,Wala Heilmittel GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Water (Aqua), Alcohol, Sorbitol, Camellia Sinensis Leaf Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Glycerin, Sucrose Distearate, Ricinus Communis (Castor) Seed Oil, Euphorbia Cerifera (Candelilla) Wax, Euphrasia Officinalis Extract, Beeswax (Cera Alba), Fragrance (Parfum)*, Citronellol*, Geraniol*, Chondrus Crispus Extract, Acacia Senegal Gum, Bentonite, Xanthan Gum, Sucrose Polystearate, Lysolecithin, Silica, Iron Oxides (CI 77499), Titanium Dioxide (CI 77891), Ultramarines (CI 77007).
     * from natural essential oils",,,,
LIQUID EYELINER - BLACK 01 -,lavera,Laverana GmbH & Co. KG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Water (Aqua), Alcohol*, Sucrose*, Silica, Citrus Grandis (Grapefruit) Fruit Extract*, Dehydroxanthan Gum, Argania Spinosa Kernel Oil*, Glycyrrhiza Glabra (Licorice) Root Extract*, Hippophae Rhamnoides Fruit Extract*, Cocos Nucifera (Coconut) Oil*, Camelina Sativa Seed Oil, Vegetable Oil (Olus Oil), Theobroma Cacao (Cocoa) Seed Butter*, Butyrospermum Parkii (Shea) Butter*, Olea Europaea (Olive) Fruit Oil*, Hydrogenated Lecithin, Malva Sylvestris (Mallow) Flower Extract*, Rosa Centifolia Flower Extract*, Tilia Cordata Flower Extract*, Ascorbyl Palmitate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil*, Fragrance (Parfum)**, Citral**, Citronellol**, Geraniol**, Limonene**, Linalool**, Benzyl Benzoate**, [+/-Iron Oxide (CI 77499), Iron Oxide (CI 77491), Mica (CI 77019), Ultramarines (CI 77007)] 
     * ingredients from certified organic agriculture 
   ** natural essential oils",,,,
LIQUID EYELINER - BROWN 02 -,lavera,Laverana GmbH & Co. KG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Water (Aqua), Alcohol*, Sucrose*, Silica, Citrus Grandis  (Grapefruit) FruitExtract*, Dehydroxanthan Gum, Argania Spinosa Kernel  Oil*, GlycyrrhizaGlabra (Licorice) Root Extract*, Hippophae Rhamnoides  Fruit Extract*, CocosNucifera (Coconut) Oil*, Camelina Sativa Seed Oil,  Vegetable Oil (Olus Oil),Theobroma Cacao (Cocoa) Seed Butter*,  Butyrospermum Parkii (Shea)Butter*, Olea Europaea (Olive) Fruit Oil*,  Hydrogenated Lecithin, MalvaSylvestris (Mallow) Flower Extract*, Rosa  Centifolia Flower Extract*, TiliaCordata Flower Extract*, Ascorbyl  Palmitate, Tocopherol, Helianthus Annuus(Sunflower) Seed Oil*, Fragrance  (Parfum)**, Citral**, Citronellol**,Geraniol**, Limonene**, Linalool**,  Benzyl Benzoate**, [+/-Iron Oxide (CI77499), Iron Oxide (CI 77491),  Mica (CI 77019), Ultramarines (CI 77007)]
     * ingredients from certified organic agriculture 
   ** natural essential oils",,,,
MANDELÖL,TAOASIS,Taoasis GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.",Prunus Amygdalus Dulcis Oil.,,,,
MINERAL CLAY PRE- TREATMENT,Logona,LOGOCOS Naturkosmetik GMBH & CO. KG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aqua (Water), Bentonite, Alcohol denat.*, Glycerin, Coco Glucoside, Xanthan Gum, Betula Alba Leaf Extract*, Parfum (Fragrance)**, Limonene** 
     *  from certified organic agriculture
   ** natural essential oil",,,,
MUTTER & KIND BABYCREME MIT STUTENMILCH,Grüne Erde,Grüne Erde GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Lanolin, Olea Europaea Oil*, Anthemis Nobilis Flower Water*, Cera Alba*, Prunus Amygdalus Dulcis Oil*, Kaolin, Butyrospermum Parkii Butter*, Cocos Nucifera Oil*, Alcohol*, Cetyl Alcohol, Equae Lac***, Tocopherol, Helianthus Annuus Seed Oil, Aqua, Xanthan Gum, Rosmarinus Officinalis Leaf Extract (CO2)*.
     *    from controlled organic cultivation
     **  component of natural essential oils
    *** from controlled organic animal husbandry",,,,
NÄHRENDE PFLEGECREME,Oceanwell,oceanBASIS GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Caprylic/Capric Triglyceride, Maris Aqua, Simmondsia Chinensis Oil*, Saccharomyces/Laminaria Saccharina Ferment, Glyceryl Stearate Citrate, Cetyl Alcohol, Hamamelis Virginiana Distillate, Butyrospermum Parkii Butter*, Glyceryl Stearate, Alcohol (aus Fermentation der Algen), Parfum (enthält/contains Linalool, Citral), konserviert mit/preserved with: Benzyl Alcohol, Glycerin, Benzioc Acid, Sorbic Acid.
     * of controlled biological cultivation",,,,
OCEANWELL STIMULATING OCEAN TONIC,Oceanwell,oceanBASIS GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Maris Aqua, Aqua, Saccharomyces/Laminaria Saccharina Ferment, Alcohol (aus Fermentation der Algen), konserviert mit/preserved with: Benzyl Alcohol, Sodium Benzoate, Potassium Sorbate.",,,,
ONE-STEP CLEANSER & TONER,Weleda,Weleda AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Water (Aqua), Limonene**, Potassium Olivate*, Fragrance (Parfum)**, Iris Germanica Root Extract*, Hamamelis Virginiana (Witch Hazel) Water, Lanolin, Alcohol, Glycerin*, Linalool**, Geraniol**, Citral**.
     * of controlled biological cultivation 
   ** from natural essential oils",,,,
ORGANIC APRICOT KERNEL OIL,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Prunus Armeniaca (Apricot) Kernel Oil* org
     * org = certified organic cultivation",,,,
ORGANIC LAVENDER WATER,PRIMAVERA,PRIMAVERA LIFE GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Lavandula Angustifolia (Lavender) Flower Water* org, Alcohol* org
   * certified organic",,,,
ORGANIC ORANGE BLOSSOM FLORAL WATER,PRIMAVERA,PRIMAVERA LIFE GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Citrus Aurantium Amara (Bitter Orange) Flower Water* org, Alcohol* org, Linalool**, Limonene**, Geraniol**
     *from controlled biological cultivation
   ** from 100% natural essential oils",,,,
ORGANIC PEPPERMINT WATER,PRIMAVERA,PRIMAVERA LIFE GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Mentha Piperita (Peppermint) Leaf Water* org, Alcohol* org
     *from controlled biological cultivation",,,,
ORGANIC ROSE WATER,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Rosa Damascena Flower Water* org, Alcohol* org, Citronellol**
     *from controlled biological cultivation",,,,
ORGANIC WITCH HAZEL WATER,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Hamamelis Virginiana (Witch Hazel) Leaf Water* org, Alcohol* org
     * org = certified organic cultivation",,,,
PFLANZEN HAARFARBE CREME 200 KUPFERBLOND,Logona,LOGOCOS Naturkosmetik GMBH & CO. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Alcohol denat.*, Glycerin, Chamomilla Recutita (Matricaria) Extract*, Hectorite, Coco Glucoside, Rheum Rhaponticum Root Extract, Lawsonia Inermis (Henna) Extract, Xanthan Gum, Algin, Rosmarinus Officinalis (Rosemary) Leaf Extract, Citric Acid, Maltodextrin, Parfum (Fragrance)**, Linalool**, Limonene**, Eugenol**
     *  from certified organic agriculture
   ** natural essential oil",,,,
PFLANZEN HAARFARBE CREME 210 KUPFERROT,Logona,LOGOCOS Naturkosmetik GMBH & CO. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Alcohol denat.*, Glycerin, Maltodextrin, Beta Vulgaris (Beet) Root Juice, Hectorite, Sorbitol, Chamomilla Recutita (Matricaria) Extract*, Lawsonia Inermis (Henna) Extract, Coco Glucoside, Xanthan Gum, Algin, Rosmarinus Officinalis (Rosemary) Leaf Extract, Citric Acid, Parfum (Fragrance)**, Linalool**, Limonene**, Eugenol*
     *  from certified organic agriculture
   ** natural essential oil",,,,
PFLANZEN HAARFARBE CREME 230 MARONENBRAUN,Logona,LOGOCOS Naturkosmetik GMBH & CO. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Alcohol denat.*, Coco Glucoside, Glycerin, Montmorillonite, Erythrulose, Lawsonia Inermis (Henna) Extract, Sorbitol, Xanthan Gum, Maltodextrin, Rosmarinus Officinalis (Rosemary) Extract, Algin, Sodium Citrate, Citric Acid, Parfum (Fragrance**), Linalool**, Limonene**, Eugenol** 
     *  from certified organic agriculture
   ** natural essential oil",,,,
PFLANZEN HAARFARBE CREME 240 NOUGATBRAUN,Logona,LOGOCOS Naturkosmetik GMBH & CO. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Alcohol denat.*, Coco-Glucoside, Glycerin, Montmorillonite, Erythrulose, Lawsonia Inermis (Henna) Extract, Sorbitol, Xanthan Gum, Maltodextrin, Quercus Robur Bark Extract, Algin, Sodium Citrate, Citric Acid, Parfum (Fragrance)**, Linalool**, Limonene**, Eugenol**, CI 77499 (Iron Oxides), CI 77491 (Iron Oxides)
     *  from certified organic agriculture
   ** natural essential oil",,,,
PFLEGENDE REINIGUNGSMILCH,Oceanwell,oceanBASIS GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Maris Aqua, Saccharomyces/Laminaria Saccharina Ferment, Caprylic/Capric Triglyceride, Simmondsia Chinensis Oil*, Aloe Barbadensis Gel, Sodium Stearoyl Glutamate, Glyceryl Stearate Citrate, Glyceryl Stearate, Cetyl Alcohol, Butyrospermum Parkii Butter*, Alcohol (aus Fermentation der Algen), Parfum (enthält/contains Linalool, Citral), konserviert mit/preserved with: Benzyl Alcohol, Glycerin, Benzoic Acid, Sorbic Acid.
     * of controlled biological cultivation",,,,
POMEGRANATE REGENERATING BODY OIL,Weleda,Weleda AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Simmondsia Chinensis (Jojoba) Seed Oil*, Sesamum Indicum (Sesame) Seed Oil*, Helianthus Annuus (Sunflower) Seed Oil*, Triticum Vulgare (Wheat) Germ Oil, Macadamia Ternifolia Seed Oil*, Panicum Miliaceum (Millet) Seed Extract*, Limonene**, Punica Granatum Seed Oil*, Olea Europaea (Olive) Oil Unsaponifiables, Helianthus Annuus (Sunflower) Petal Extract, Fragrance (Parfum)**, Linalool**, Citronellol**, Benzyl Benzoate**, Geraniol**, Citral**, Eugenol**, Coumarin**, Farnesol**
     *of controlled biological cultivation 
   ** from natural essential oils",,,,
